Date,TATAMOTORS_Open,TATAMOTORS_High,TATAMOTORS_Low,TATAMOTORS_Close,M&M_Open,M&M_High,M&M_Low,M&M_Close
06-05-2020,81.550003,83.949997,80.349998,83.199997,371.5,393,358.25,387.149994
07-05-2020,82.900002,84.650002,82.099998,82.5,387.5,403.450012,385.100006,400.649994
08-05-2020,84.5,84.949997,80.550003,81.050003,405,407.899994,380.700012,386.700012
11-05-2020,81.449997,90.650002,81.400002,86.099998,388.5,402,384.350006,390.100006
12-05-2020,85.949997,87.699997,83.5,86.199997,388.899994,395.200012,380.200012,393.049988
13-05-2020,92.5,92.5,86.25,87.199997,415,418.899994,404.25,413.049988
14-05-2020,83.949997,85.300003,82.550003,83.800003,401.5,407.5,396,400.450012
15-05-2020,84.699997,85.349998,82.800003,84.349998,402.75,403.950012,373.200012,381.299988
18-05-2020,84.5,84.5,79.599998,80.650002,382.100006,383.5,367.25,377.200012
19-05-2020,82.5,85.650002,81.5,81.800003,384,391,371.200012,382.899994
20-05-2020,81.25,84.400002,80.699997,83.449997,382.899994,413.700012,379.700012,405.049988
21-05-2020,83.099998,85.199997,82.900002,84.099998,400.149994,412.200012,397.799988,408.299988
22-05-2020,83.400002,83.900002,82,82.800003,404,430.350006,398.700012,426.350006
26-05-2020,83.900002,85.699997,82.599998,83.099998,427,435.200012,421.649994,429.149994
27-05-2020,84.099998,86,84,84.550003,426.5,434.950012,415,432.5
28-05-2020,86,88.150002,84.550003,87,429.5,444,423.850006,440.399994
29-05-2020,85.550003,87.5,84.650002,87,434,450,431.100006,436.350006
01-06-2020,88.900002,91.199997,88,89.550003,441.850006,470.5,441.5,461.100006
02-06-2020,90,97.300003,89.75,96.5,465.100006,478.850006,460.850006,462.850006
03-06-2020,100,101.449997,97.400002,98.75,470,492.600006,466.5,485.100006
04-06-2020,99,101.400002,96.800003,98.5,485.299988,486.25,469.399994,478.450012
05-06-2020,100.449997,112.449997,99.050003,110.75,479,489.450012,475.399994,484.200012
08-06-2020,114,119.150002,113.349998,115.449997,485.5,494.149994,468.25,470.850006
09-06-2020,117.449997,117.900002,110.25,111.449997,473.799988,482.799988,463.299988,478.75
10-06-2020,111,113,108.5,111.400002,476.149994,483.700012,468.850006,472.049988
11-06-2020,109.900002,111.150002,105,106.150002,472,480,469.5,474.549988
